ID,task_type,action_noise,xprob_volatility
1001,SAP,0.17429611337400117,1.3596682681712433
1001,SAPC,0.08062437052029642,1.4878967081392633
1002,SAP,0.10102039493280682,1.4669602574965344
1002,SAPC,0.05435967703437194,1.4870809112997359
1003,SAP,0.08364638382104228,1.497314050197597
1003,SAPC,0.5332971305551376,1.6602669158496657
1004,SAP,0.2852414124885479,1.2539874321447633
1004,SAPC,0.28893718638223986,1.1791531265338933
1006,SAP,0.21317481267069463,1.4382478356373385
1006,SAPC,0.11753756318084126,1.5504378434018578
1007,SAP,0.08458104725495375,1.4361133638453583
1007,SAPC,0.44198342023163334,1.4691882189150436
1008,SAP,0.08263729489911252,0.8377593028563701
1008,SAPC,0.08879584831269817,1.4498115982212052
1009,SAP,0.10346656277248181,1.4197220825076593
1009,SAPC,0.12653300411428967,1.9222706377307646
1010,SAP,0.0773388037733567,0.9568308191526673
1010,SAPC,0.13101970902313678,1.1445766771378114
1011,SAP,0.5315660612621994,1.6512846704334616
1011,SAPC,0.32844102187930463,1.3990077080913794
1012,SAP,0.44695269627695594,1.6104106658466772
1012,SAPC,0.41309726297843463,1.4971744241985716
1013,SAP,0.36036330082704837,1.7195096113895778
1013,SAPC,0.19855209665844883,1.4416201066435865
1015,SAP,0.0959695568807011,0.7673063926405916
1015,SAPC,0.07245778685556149,1.4251319603375847
1016,SAP,0.16809274437950047,0.5405669471265279
1016,SAPC,0.12887686400016024,0.9425368233633389
1018,SAP,0.05554251066178334,1.403027292025579
1018,SAPC,0.10807055456687749,1.5899882302040318
